DATE,Average Wind,Preciptiation,Snow,Temperature
2014-01-01,9.4,0,0,24
2014-01-02,17.45,0.38,10.6,20
2014-01-03,17,0.19,4.5,6
2014-01-04,12.3,0,0,10
2014-01-05,8.05,0.04,0,29
2014-01-06,13.87,0.32,0,44
2014-01-07,19.69,0,0,21
2014-01-08,12.75,0,0,13
2014-01-09,8.5,0,0,23
2014-01-10,4.92,0.02,0.2,25
2014-01-11,11.41,0.54,0,43
2014-01-12,16.11,0,0,48
2014-01-13,11.41,0,0,40
2014-01-14,7.83,0.79,0,47
2014-01-15,6.49,0,0,43
2014-01-16,3.13,0,0,37
2014-01-17,7.83,0,0,39
2014-01-18,6.93,0.79,2,35
2014-01-19,14.76,0.03,0.2,33
2014-01-20,14.99,0,0,35
2014-01-21,11.63,0.11,3.9,20
2014-01-22,16.55,0,0.3,12
2014-01-23,12.75,0,0,12
2014-01-24,13.65,0,0,13
2014-01-25,17.22,0,0.1,24
2014-01-26,15.66,0,0,22
2014-01-27,13.87,0.02,0,31
2014-01-28,12.75,0,0,19
2014-01-29,9.84,0.01,0,20
2014-01-30,9.84,0,0,22
2014-01-31,9.17,0,0,30
2014-02-01,8.28,0,0,38
2014-02-02,6.71,0.02,0,40
2014-02-03,9.17,0.17,1.6,36
2014-02-04,6.04,0,0,29
2014-02-05,10.74,1.11,10.7,31
2014-02-06,7.83,0,0,23
2014-02-07,10.74,0,0,24
2014-02-08,10.07,0,0,24
2014-02-09,7.61,0.03,0.3,26
2014-02-10,11.63,0,0.1,26
2014-02-11,10.29,0,0,20
2014-02-12,7.61,0,0,17
2014-02-13,19.91,1.35,3.2,29
2014-02-14,18.34,0.31,0.1,34
2014-02-15,9.62,0.33,3.6,32
2014-02-16,16.55,0.02,0.4,29
2014-02-17,14.76,0,0,22
2014-02-18,10.51,0.22,2.5,24
2014-02-19,8.05,0.25,0,29
2014-02-20,9.4,0.08,0,39
2014-02-21,8.95,0.22,0,37
2014-02-22,14.32,0,0,42
2014-02-23,6.04,0,0,43
2014-02-24,16.33,0,0,38
2014-02-25,10.51,0,0,25
2014-02-26,11.63,0,0,24
2014-02-27,11.86,0.02,0.4,20
2014-02-28,11.86,0,0,18
2014-03-01,8.05,0,0,24
2014-03-02,6.93,0,0,34
2014-03-03,11.63,0,0,25
2014-03-04,8.05,0,0,20
2014-03-05,9.62,0,0.1,26
2014-03-06,7.38,0,0,19
2014-03-07,4.7,0,0,25
2014-03-08,7.61,0,0,38
2014-03-09,10.51,0,0,37
2014-03-10,8.05,0.03,0.6,35
2014-03-11,8.5,0,0,44
2014-03-12,4.92,0.43,0,42
2014-03-13,18.34,0.06,1.5,28
2014-03-14,14.09,0,0,24
2014-03-15,14.54,0.01,0,44
2014-03-16,16.33,0,0,35
2014-03-17,8.28,0,0,23
2014-03-18,8.28,0,0,27
2014-03-19,10.29,0,0,33
2014-03-20,12.08,0.29,0,42
2014-03-21,16.78,0,0,40
2014-03-22,14.09,0,0,40
2014-03-23,12.97,0,0,39
2014-03-24,12.75,0,0,25
2014-03-25,10.07,0,0,29
2014-03-26,25.95,0,0,32
2014-03-27,14.32,0,0,30
2014-03-28,14.32,0.02,0,44
2014-03-29,12.53,0.97,0,47
2014-03-30,17.22,2.23,0,40
2014-03-31,13.42,0.44,0,36
2014-04-01,9.62,0,0,40
2014-04-02,5.59,0,0,42
2014-04-03,9.4,0,0,43
2014-04-04,11.18,0.26,0,40
2014-04-05,13.42,0.23,0,43
2014-04-06,8.72,0,0,44
2014-04-07,7.61,0.04,0,49
2014-04-08,13.42,0.67,0,52
2014-04-09,13.2,0,0,50
2014-04-10,13.87,0,0,47
2014-04-11,10.07,0,0,56
2014-04-12,8.5,0.04,0,58
2014-04-13,7.61,0.04,0,52
2014-04-14,21.7,0,0,64
2014-04-15,23.71,0.62,0,62
2014-04-16,14.99,0.36,0.3,42
2014-04-17,13.87,0,0,36
2014-04-18,8.72,0,0,37
2014-04-19,12.08,0,0,48
2014-04-20,9.17,0,0,45
2014-04-21,9.17,0,0,49
2014-04-22,11.86,0.05,0,58
2014-04-23,14.99,0.23,0,53
2014-04-24,20.8,0,0,50
2014-04-25,10.51,0,0,51
2014-04-26,7.38,0.2,0,46
2014-04-27,6.49,0.15,0,43
2014-04-28,11.41,0,0,47
