,station,prediction_time,prediction_window,number_of_bikes_left,number_of_bikes_returned,net_difference
0,1,2022-08-28 00:15:00,15,0,0,0
1,1,2022-08-28 00:30:00,15,0,0,0
2,1,2022-08-28 00:45:00,15,0,0,0
3,1,2022-08-28 01:00:00,15,0,0,0
4,1,2022-08-28 01:15:00,15,0,0,0
5,1,2022-08-28 01:30:00,15,0,0,0
6,1,2022-08-28 01:45:00,15,0,0,0
7,1,2022-08-28 02:00:00,15,0,0,0
8,1,2022-08-28 02:15:00,15,0,0,0
9,1,2022-08-28 02:30:00,15,0,0,0
10,1,2022-08-28 02:45:00,15,0,0,0
11,1,2022-08-28 03:00:00,15,0,0,0
12,1,2022-08-28 03:15:00,15,0,0,0
13,1,2022-08-28 03:30:00,15,0,0,0
14,1,2022-08-28 03:45:00,15,0,0,0
15,1,2022-08-28 04:00:00,15,0,0,0
16,1,2022-08-28 04:15:00,15,0,0,0
17,1,2022-08-28 04:30:00,15,0,0,0
18,1,2022-08-28 04:45:00,15,0,0,0
19,1,2022-08-28 05:00:00,15,0,0,0
20,1,2022-08-28 05:15:00,15,0,0,0
21,1,2022-08-28 05:30:00,15,0,0,0
22,1,2022-08-28 05:45:00,15,0,0,0
23,1,2022-08-28 06:00:00,15,0,0,0
24,1,2022-08-28 06:15:00,15,0,0,0
25,1,2022-08-28 06:30:00,15,0,0,0
26,1,2022-08-28 06:45:00,15,0,0,0
27,1,2022-08-28 07:00:00,15,0,0,0
28,1,2022-08-28 07:15:00,15,0,0,0
29,1,2022-08-28 07:30:00,15,0,0,0
30,1,2022-08-28 07:45:00,15,0,0,0
31,1,2022-08-28 08:00:00,15,0,0,0
32,1,2022-08-28 08:15:00,15,0,0,0
33,1,2022-08-28 08:30:00,15,0,0,0
34,1,2022-08-28 08:45:00,15,0,0,0
35,1,2022-08-28 09:00:00,15,0,0,0
36,1,2022-08-28 09:15:00,15,0,0,0
37,1,2022-08-28 09:30:00,15,0,0,0
38,1,2022-08-28 09:45:00,15,0,0,0
39,1,2022-08-28 10:00:00,15,0,0,0
40,1,2022-08-28 10:15:00,15,0,0,0
